Build Type,Date,Time,Application,Environment,Release,Publish Type,App Job Name,App Job Build Number,Spinner Job Name,Spinner Job Build Number,App Job Duration,Spinner Job Duration,Total Execution,Total Time (In mins.secs)
Auto,11/4/2016,08:57:37,WINDPLM,QA3,Release_4_6,app,PLM-WINDPLM-APP,1206,,,0 mins 0 secs,,0 mins 0 secs,0.0
Manual,11/4/2016,09:05:16,ENERGYPLM,DEV1,Release_6_1_30,all,PLM-ENERGYPLM-APP,463,PLM-ENERGYPLM-DB,378,8 mins 42 secs,0 mins 53 secs,9 mins 35 secs,9.35
Manual,11/4/2016,09:54:00,ENERGYPLM,DEV1,Release_6_1_32,db,PLM-ENERGYPLM-APP,465,PLM-ENERGYPLM-DB,380,6 mins 34 secs,0 mins 36 secs,7 mins 11 secs,7.11
Manual,11/4/2016,11:29:31,NuclearPLM,DEV,Release_4_0,all,PLM-NuclearPLM-APP,139,PLM-NuclearPLM-DB,126,14 mins 9 secs,0 mins 36 secs,14 mins 46 secs,14.46
Auto,11/4/2016,11:39:31,WINDPLM,DEV4,wind_dev_4_7,db,PLM-WINDPLM-APP,1207,PLM-WINDPLM-DB,1025,5 mins 45 secs,0 mins 44 secs,6 mins 29 secs,6.29
Auto,11/4/2016,12:42:58,WINDPLM,DEV5,wind_dev_4_12,db,PLM-WINDPLM-APP,1208,PLM-WINDPLM-DB,1026,5 mins 24 secs,0 mins 43 secs,6 mins 7 secs,6.7
Auto,11/4/2016,23:44:41,WINDPLM,DEV3,wind_dev_4_6,db,PLM-WINDPLM-APP,1210,PLM-WINDPLM-DB,1028,5 mins 15 secs,0 mins 46 secs,6 mins 1 secs,6.1
Auto,11/5/2016,04:40:01,WINDPLM,DEV4,wind_dev_4_7,db,PLM-WINDPLM-APP,1211,PLM-WINDPLM-DB,1029,5 mins 11 secs,0 mins 36 secs,5 mins 47 secs,5.47
Auto,11/5/2016,11:34:43,WINDPLM,DEV4,wind_dev_4_7,db,PLM-WINDPLM-APP,1212,PLM-WINDPLM-DB,1030,1 mins 22 secs,0 mins 30 secs,1 mins 52 secs,1.52
Auto,11/5/2016,13:37:34,AEROPLM,DEV2,Dev_3_15_0,all,PLM-AEROPLM-APP,239,PLM-AEROPLM-DB,239,5 mins 51 secs,0 mins 23 secs,6 mins 14 secs,6.14
Auto,11/6/2016,11:28:23,WINDPLM,QA3,Release_4_6,db,PLM-WINDPLM-APP,1213,PLM-WINDPLM-DB,1031,5 mins 30 secs,0 mins 49 secs,6 mins 19 secs,6.19
Auto,11/6/2016,23:40:30,WINDPLM,DEV4,wind_dev_4_7,db,PLM-WINDPLM-APP,1214,PLM-WINDPLM-DB,1032,5 mins 29 secs,1 mins 1 secs,6 mins 31 secs,6.31
